"filename", "language", "JavaScript", "Properties", "JSON", "Markdown", "XML", "JavaScript JSX", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\home\widget\widget-card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 10, 75
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\lapsed-data\lapsed-data.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 211, 0, 0, 0, 20, 16, 247
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\link-not-sent\link-not-sent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 204, 0, 0, 0, 1, 9, 214
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\processing-data\processing-data.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 13, 13, 219
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\appointee-count.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 8, 114
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\cancelled-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 118, 0, 0, 0, 5, 14, 137
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\pfusers-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 11, 137
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\report.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 1, 9, 155
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\reports\verified-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 0, 4, 16, 154
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\setup\general-setup-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 873, 0, 0, 0, 43, 16, 932
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\setup\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\uploaded-data\uploaded-data.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 7, 107
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\user\create-user\create-user-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 139, 14, 240
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\user\update-user-view\update-user-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 44, 8, 144
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\user\user-creation-form\user-creation-form.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 17, 12, 212
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\user\user-view\user-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 50, 8, 152
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\modules\user\userlist\userlist-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 4, 7, 62
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\api\access.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 2, 12
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\api\city-search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\api\get-menu-item.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 2, 11
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\api\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\utils\axios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\server\utils\pfc-requiest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 138, 0, 0, 0, 5, 9, 152
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\action-permission\action-permission.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 6, 37
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\auth-provider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 2, 26
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\authorized-redirection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\disble-section\disble-section.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\display-information\personal-information.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 45
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\document-view\document-view.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 56
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\download-report\download-report.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 13, 5, 135
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\file-update\file-update.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 4, 9, 120
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\file-upload-section\file-upload-section.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 2, 38
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\file-upload\file-upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 3, 9, 118
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\form-dialog\close-appointee-add-Remarks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\form-dialog\update-appointee-data.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 0, 4, 13, 102
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\full-screen-wrapper\full-screen-wrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\otp\otp-generation\otp-generation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\otp\otp-submition\otp-submition.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 252, 0, 0, 0, 7, 24, 283
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\private-component\private-component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 5, 29
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\remarks-table\remarks-table.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\shared-hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\update-button.jsx\update-button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\upload-button.jsx\upload-button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\verification\verification-icon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\verification\verification-status-section.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\components\verification\verification-status.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\constants\attachment-extention.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 2, 7
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\constants\constants.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 968, 0, 0, 0, 34, 33, 1035
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\blank\BlankLayout.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\FullLayout.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 80
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\header\Header.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 73
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\header\data.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 10, 179
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\header\profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 35, 8, 138
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\shared\loadable\Loadable.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\shared\logo\Logo.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\sidebar\MenuItems.js", "JavaScript", 319, 0, 0, 0, 0, 0, 0, 0, 0, 101, 10, 430
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\sidebar\NavGroup\NavGroup.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\sidebar\NavItem\index.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 79
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\sidebar\Sidebar.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\layouts\full\sidebar\SidebarItems.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 114
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\routes\custom-router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 9, 6, 79
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\alert\AdminPannelAlert.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 68
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\alert\CustomeAlert.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\alert\ManuallyCloseableSnackBar.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 51
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\alert\ShowAlertList.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\alert\SweetAlert.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 65
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\app-wrapper\app-wrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 753, 0, 0, 0, 208, 13, 974
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\add-is-check-flag.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\arrange-sidebar-items.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 3, 42
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\array-object-values.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\array-of-specific-object-value.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\check-is-pastday.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\check-validate-number.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\date-filter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\download-file.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\filter-object-property.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\generate-fileupload-error-message.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 1, 28
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\generate-table-row-data.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 15, 7, 74
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\get-attribute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\get-char-pos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\get-from-localstorage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\handle-short.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\has-action-permition.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 10, 9, 54
"d:\Dibyojit\elogix_projects\veridata\general_setupImp\pfc_ui\src\shared\utils\associate\has-value.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
